	ID	UniProt
0	CHEMBL1194325	P0DTD1
1	CHEMBL1194325	P20309
2	CHEMBL1194325	O95342
3	CHEMBL2095212	P0DTD1
4	CHEMBL2095212	P10635
5	CHEMBL2105717	P78368
6	CHEMBL2105717	P04629
7	CHEMBL2105717	O00764
8	CHEMBL2105717	P06213
9	CHEMBL2105717	P49137
10	CHEMBL2105717	Q92499
11	CHEMBL2105717	P00533
12	CHEMBL2105717	O75460
13	CHEMBL2105717	P22830
14	CHEMBL2105717	P50750
15	CHEMBL2105717	Q8TBX8
16	CHEMBL2105717	Q9NYV4
17	CHEMBL2105717	P12236
18	CHEMBL2105717	O15254
19	CHEMBL2105717	Q86TW2
20	CHEMBL2105717	O95819
21	CHEMBL2105717	P29323
22	CHEMBL2105717	P16083
23	CHEMBL2105717	Q9UM73
24	CHEMBL2105717	P06239
25	CHEMBL2105717	Q06187
26	CHEMBL2105717	P29597
27	CHEMBL2105717	P28482
28	CHEMBL2105717	Q7KZI7
29	CHEMBL2105717	Q9UBE8
30	CHEMBL2105717	P51617
31	CHEMBL2105717	P31153
32	CHEMBL2105717	P22694
33	CHEMBL2105717	P10398
34	CHEMBL2105717	Q13873
35	CHEMBL2105717	O75676
36	CHEMBL2105717	Q13164
37	CHEMBL2105717	P35580
38	CHEMBL2105717	O14965
39	CHEMBL2105717	P31751
40	CHEMBL2105717	Q9NU22
41	CHEMBL2105717	Q15067
42	CHEMBL2105717	Q14004
43	CHEMBL2105717	P22234
44	CHEMBL2105717	P08581
45	CHEMBL2105717	P07948
46	CHEMBL2105717	Q8IYD1
47	CHEMBL2105717	P49748
48	CHEMBL2105717	Q9P289
49	CHEMBL2105717	Q86XP3
50	CHEMBL2105717	P53350
51	CHEMBL2105717	Q9UKE5
52	CHEMBL2105717	Q14683
53	CHEMBL2105717	P20340
54	CHEMBL2105717	P49841
55	CHEMBL2105717	Q13188
56	CHEMBL2105717	P19784
57	CHEMBL2105717	Q9BZE4
58	CHEMBL2105717	P11274
59	CHEMBL2105717	Q9BZL6
60	CHEMBL2105717	P36897
61	CHEMBL2105717	P16234
62	CHEMBL2105717	P33991
63	CHEMBL2105717	P11309
64	CHEMBL2105717	P54756
65	CHEMBL2105717	Q9P2R7
66	CHEMBL2105717	P54577
67	CHEMBL2105717	Q9UK32
68	CHEMBL2105717	P30519
69	CHEMBL2105717	P53779
70	CHEMBL2105717	Q9NSY1
71	CHEMBL2105717	Q8NI60
72	CHEMBL2105717	P45984
73	CHEMBL2105717	P06493
74	CHEMBL2105717	P22612
75	CHEMBL2105717	O60674
76	CHEMBL2105717	P43686
77	CHEMBL2105717	Q9NTK5
78	CHEMBL2105717	Q9H773
79	CHEMBL2105717	Q9NSD9
80	CHEMBL2105717	Q9UPZ9
81	CHEMBL2105717	P36888
82	CHEMBL2105717	Q00536
83	CHEMBL2105717	P07949
84	CHEMBL2105717	Q05513
85	CHEMBL2105717	Q58FF8
86	CHEMBL2105717	Q13131
87	CHEMBL2105717	Q15746
88	CHEMBL2105717	Q9H2G2
89	CHEMBL2105717	Q9Y572
90	CHEMBL2105717	P52564
91	CHEMBL2105717	P08574
92	CHEMBL2105717	P27361
93	CHEMBL2105717	P36507
94	CHEMBL2105717	Q9Y243
95	CHEMBL2105717	O00264
96	CHEMBL2105717	Q14164
97	CHEMBL2105717	P07332
98	CHEMBL2105717	Q00537
99	CHEMBL2105717	Q7Z406
100	CHEMBL2105717	P51955
101	CHEMBL2105717	P10721
102	CHEMBL2105717	P05771
103	CHEMBL2105717	Q13547
104	CHEMBL2105717	Q15418
105	CHEMBL2105717	P30085
106	CHEMBL2105717	O75385
107	CHEMBL2105717	Q7L2E3
108	CHEMBL2105717	P49760
109	CHEMBL2105717	O43353
110	CHEMBL2105717	P12931
111	CHEMBL2105717	Q01813
112	CHEMBL2105717	P07741
113	CHEMBL2105717	P53671
114	CHEMBL2105717	Q04912
115	CHEMBL2105717	P37173
116	CHEMBL2105717	O14578
117	CHEMBL2105717	Q02750
118	CHEMBL2105717	Q02763
119	CHEMBL2105717	P17948
120	CHEMBL2105717	P42684
121	CHEMBL2105717	Q07912
122	CHEMBL2105717	P49411
123	CHEMBL2105717	Q16566
124	CHEMBL2105717	P49759
125	CHEMBL2105717	Q14680
126	CHEMBL2105717	P18074
127	CHEMBL2105717	Q13418
128	CHEMBL2105717	O15197
129	CHEMBL2105717	Q16513
130	CHEMBL2105717	P25098
131	CHEMBL2105717	P55263
132	CHEMBL2105717	P42285
133	CHEMBL2105717	Q9NYL2
134	CHEMBL2105717	P29317
135	CHEMBL2105717	P54764
136	CHEMBL2105717	P61158
137	CHEMBL2105717	Q6DT37
138	CHEMBL2105717	P54819
139	CHEMBL2105717	Q8IW41
140	CHEMBL2105717	Q9Y463
141	CHEMBL2105717	P0DTD1
142	CHEMBL2105717	P42680
143	CHEMBL2105717	Q99759
144	CHEMBL2105717	P33981
145	CHEMBL2105717	P36894
146	CHEMBL2105717	O95347
147	CHEMBL2105717	Q02880
148	CHEMBL2105717	P27448
149	CHEMBL2105717	Q96RR4
150	CHEMBL2105717	O75643
151	CHEMBL2105717	Q9UL54
152	CHEMBL2105717	Q9Y4K4
153	CHEMBL2105717	Q9Y2K2
154	CHEMBL2105717	Q9NSE4
155	CHEMBL2105717	Q709F0
156	CHEMBL2105717	P51159
157	CHEMBL2105717	Q9HAZ1
158	CHEMBL2105717	P05141
159	CHEMBL2105717	P36896
160	CHEMBL2105717	P61160
161	CHEMBL2105717	Q13470
162	CHEMBL2105717	Q9BQI3
163	CHEMBL2105717	Q5VT25
164	CHEMBL2105717	Q2M2I8
165	CHEMBL2105717	P04899
166	CHEMBL2105717	Q15759
167	CHEMBL2105717	Q16584
168	CHEMBL2105717	P35916
169	CHEMBL2105717	Q32MK0
170	CHEMBL2105717	Q13233
171	CHEMBL2105717	Q9NQU5
172	CHEMBL2105717	O00311
173	CHEMBL2105717	Q8IVH8
174	CHEMBL2105717	O95382
175	CHEMBL2105717	P48729
176	CHEMBL2105717	O94804
177	CHEMBL2105717	P11802
178	CHEMBL2105717	P16591
179	CHEMBL2105717	P11362
180	CHEMBL2105717	P35968
181	CHEMBL2105717	Q9Y616
182	CHEMBL2105717	Q13555
183	CHEMBL2105717	P00519
184	CHEMBL2105717	Q8TDX7
185	CHEMBL2105717	P54619
186	CHEMBL2105717	P38117
187	CHEMBL2105717	P42685
188	CHEMBL2105717	P23443
189	CHEMBL2105717	Q00534
190	CHEMBL2105717	O43683
191	CHEMBL2105717	P48730
192	CHEMBL2105717	P12268
193	CHEMBL2105717	O95835
194	CHEMBL2105717	Q13627
195	CHEMBL2105717	P33176
196	CHEMBL2105717	P30086
197	CHEMBL2105717	P17612
198	CHEMBL2105717	P30530
199	CHEMBL2105717	Q96S44
200	CHEMBL2105717	P46734
201	CHEMBL2105717	Q9UHD8
202	CHEMBL2105717	P30291
203	CHEMBL2105717	Q15392
204	CHEMBL2105717	Q7L7X3
205	CHEMBL2105717	O00571
206	CHEMBL2105717	Q13557
207	CHEMBL2105717	Q9Y5S2
208	CHEMBL2105717	Q9H2K8
209	CHEMBL2105717	Q13177
210	CHEMBL2105717	Q14289
211	CHEMBL2105717	Q05655
212	CHEMBL2105717	Q16204
213	CHEMBL2105717	P31749
214	CHEMBL2105717	Q9HCP0
215	CHEMBL2105717	Q9P0J0
216	CHEMBL2105717	P49840
217	CHEMBL2105717	Q9UGJ0
218	CHEMBL2105717	Q9UHD2
219	CHEMBL2105717	Q9Y6E0
220	CHEMBL2105717	P49674
221	CHEMBL2105717	Q9Y6M4
222	CHEMBL2105717	Q9ULC5
223	CHEMBL2105717	Q96PY6
224	CHEMBL2105717	O14976
225	CHEMBL2105717	Q9Y2U5
226	CHEMBL2105717	Q99683
227	CHEMBL2105717	P31689
228	CHEMBL2105717	P54753
229	CHEMBL2105717	Q15375
230	CHEMBL2105717	Q13464
231	CHEMBL2105717	Q04759
232	CHEMBL2105717	Q16539
233	CHEMBL2105717	Q13043
234	CHEMBL2105717	O94806
235	CHEMBL2105717	O14757
236	CHEMBL2105717	Q04771
237	CHEMBL2105717	Q6JQN1
238	CHEMBL2105717	Q9Y6R4
239	CHEMBL2105717	Q6PHR2
240	CHEMBL2105717	Q16512
241	CHEMBL2105717	P49761
242	CHEMBL2105717	Q9H0A0
243	CHEMBL2105717	Q96GD4
244	CHEMBL2105717	P49589
245	CHEMBL2105717	Q6ZSR9
246	CHEMBL2105717	Q92918
247	CHEMBL2105717	P41250
248	CHEMBL2105717	Q13882
249	CHEMBL2105717	Q96L34
250	CHEMBL2105717	P51812
251	CHEMBL2105717	Q8TD19
252	CHEMBL2105717	O75582
253	CHEMBL2105717	P61026
254	CHEMBL2105717	P17252
255	CHEMBL2105717	P06241
